CLASS_NUM,CLASS_STR,LANES,LANES_WID,MEDIAN_WID,SHLD_TOT
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,8,12,2,24
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,8,12,2,26
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,8,12,2,24
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,8,12,2,24
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,8,12,2,29
1,Arterial,6,12.66666667,2,0
1,Arterial,6,12.66666667,2,0
1,Arterial,6,12.66666667,2,0
1,Arterial,6,12.66666667,2,0
1,Arterial,2,16,2,3
1,Arterial,4,4.5,0,0
1,Arterial,4,4.5,0,0
1,Arterial,4,7.5,0,0
1,Arterial,4,7.75,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,2,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8,0,0
1,Arterial,4,8.25,0,0
1,Arterial,4,8.25,0,0
1,Arterial,4,8.25,0,0
1,Arterial,4,8.25,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,2,8.5,0,0
1,Arterial,4,8.5,0,0
1,Arterial,4,8.75,0,0
1,Arterial,4,8.75,0,0
1,Arterial,4,8.75,0,0
1,Arterial,4,8.75,0,0
1,Arterial,4,8.75,0,0
1,Arterial,4,8.75,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,4
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,4
1,Arterial,2,9,0,6
1,Arterial,2,9,0,6
1,Arterial,2,9,0,6
1,Arterial,2,9,0,4
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,12
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,2,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9,0,0
1,Arterial,4,9.25,0,0
1,Arterial,4,9.25,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
1,Arterial,2,9.5,0,0
